Year of Project Year,Subsystem 1 - Technology Mid-Type,Country (group),Subsystem 1 - Technology Broad Category,Subsystem 1 - Technology Sub-Type (group),Country,Subsystem 1 - Technology Sub-Type,Rated Power (kW),Storage Capacity (kWh)
2012,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Hybrid lead-acid battery/electro-chemical capacitor,United States,Hybrid lead-acid battery/electro-chemical capacitor,3000,2160
2015,Flow battery,India,Electro-chemical battery and chemical storage,Vanadium redox flow battery,India,Vanadium redox flow battery,30,120
2013,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,500,1000
2015,Lithium-ion battery,Germany,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Germany,Unknown Technology Sub-Type ,1300,1729
2017,Flow battery,Germany,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Germany,Unknown Technology Sub-Type ,200,800
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,900,494.7
2014,Electro-chemical capacitor,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,70,49
2016,Lithium-ion battery,Germany,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Germany,Unknown Technology Sub-Type ,15000,22500
2011,Flow battery,Germany,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Germany,Vanadium redox flow battery,260,650
2011,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium polymer battery,United States,Lithium polymer battery,50,50
2013,Lithium-ion battery,Switzerland,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Switzerland,Unknown Technology Sub-Type ,55,154
2014,Lithium-ion battery,France,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,France,Unknown Technology Sub-Type ,33,84.81
2010,Lithium-ion battery,Japan,Electro-chemical battery and chemical storage,Lithium-ion titanate battery,Japan,Lithium-ion titanate battery,100,200
2010,Sodium-based battery,Japan,Electro-chemical battery and chemical storage,Sodium-sulfur battery,Japan,Sodium-sulfur battery,4000,28800
2015,Flow battery,United Kingdom,Electro-chemical battery and chemical storage,Vanadium redox flow battery,United Kingdom,Vanadium redox flow battery,5,40
2011,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Advanced lead-acid battery,United States,Advanced lead-acid battery,1500,1005
2016,Lead-acid battery,Spain,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Spain,Unknown Technology Sub-Type ,40,96
2013,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Advanced lead-acid battery,United States,Advanced lead-acid battery,300,99
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,500,250
2014,Lithium-ion battery,France,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,France,Unknown Technology Sub-Type ,250,480
2014,Lithium-ion battery,Germany,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Germany,Unknown Technology Sub-Type ,15000,15000
2013,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium polymer battery,United States,Lithium polymer battery,153,394.74
2015,Lithium-ion battery,Germany,Electro-chemical battery and chemical storage,Lithium polymer battery,Germany,Lithium polymer battery,2000,2000
2016,Lithium-ion battery,United Kingdom,Electro-chemical battery and chemical storage,Lithium-ion titanate battery,United Kingdom,Lithium-ion titanate battery,2000,1000
2013,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,1000
2010,Flow battery,Australia,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Australia,Zinc-bromine flow battery,100,500
2015,Flow battery,United States,Electro-chemical battery and chemical storage,Vanadium redox flow battery,United States,Vanadium redox flow battery,1000,3200
2017,Lithium-ion battery,Canada,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Canada,Unknown Technology Sub-Type ,2000,8000
2012,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Sodium-sulfur battery,United States,Sodium-sulfur battery,1000,6000
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,2000
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,10000,4950
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,250,1500
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,United States,Lithium-iron phosphate battery,20,40
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,0
2012,Lithium-ion battery,Germany,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Germany,Unknown Technology Sub-Type ,27,62.91
2016,Lead-acid battery,Vanuatu,Electro-chemical battery and chemical storage,Valve regulated lead-acid battery,Vanuatu,Valve regulated lead-acid battery,15,72
2012,Flow battery,United States,Electro-chemical battery and chemical storage,Vanadium redox flow battery,United States,Vanadium redox flow battery,600,3600
2013,Lithium-ion battery,Canada,Electro-chemical battery and chemical storage,Lithium-nickel-manganese-cobalt battery,Canada,Lithium-nickel-manganese-cobalt battery,1000,1000
2013,Lithium-ion battery,Canada,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Canada,Unknown Technology Sub-Type ,400,748
2016,Lithium-ion battery,Japan,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Japan,Unknown Technology Sub-Type ,500,1200
2011,Lithium-ion battery,United Kingdom,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United Kingdom,Unknown Technology Sub-Type ,200,200
2016,Unknown Technology Mid-Type,United Kingdom,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United Kingdom,Unknown Technology Sub-Type ,300,639
2003,Nickel-based battery,United States,Electro-chemical battery and chemical storage,Nickel-cadmium battery,United States,Nickel-cadmium battery,27000,6750
2012,Lithium-ion battery,South Korea,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,South Korea,Unknown Technology Sub-Type ,250,500
2013,Hydrogen storage,Germany,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Germany,Unknown Technology Sub-Type ,1000,27000
2017,Unknown Technology Mid-Type,Chile,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Chile,Unknown Technology Sub-Type ,180,329.4
2015,Lithium-ion battery,Germany,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,Germany,Lithium-iron phosphate battery,249,199.2
2015,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,United States,Zinc-bromine flow battery,20,72
2015,Sodium-based battery,Italy,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Italy,Unknown Technology Sub-Type ,100,300
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,United States,Lithium-iron phosphate battery,30,39.9
2015,Lithium-ion battery,Japan,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Japan,Unknown Technology Sub-Type ,40000,20000
2015,Lithium-ion battery,Germany,Electro-chemical battery and chemical storage,Lithium-nickel-manganese-cobalt battery,Germany,Lithium-nickel-manganese-cobalt battery,55,110
2013,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Sodium-sulfur battery,United States,Sodium-sulfur battery,4000,28000
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,20000,20000
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,United States,Lithium-iron phosphate battery,4000,2000
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,150,0
2014,Lithium-ion battery,Spain,Electro-chemical battery and chemical storage,Lithium-nickel-manganese-cobalt battery,Spain,Lithium-nickel-manganese-cobalt battery,1000,330
2015,Lithium-ion battery,Martinique,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Martinique,Unknown Technology Sub-Type ,2472,1977.6
2011,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,500
2012,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,11000,27500
2013,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium polymer battery,United States,Lithium polymer battery,100,200
2013,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,30,30
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,30000,60000
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,20000,46600
2012,Lithium-ion battery,Switzerland,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Switzerland,Unknown Technology Sub-Type ,1000,500
2017,Lithium-ion battery,Canada,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Canada,Unknown Technology Sub-Type ,7000,7000
2015,Lithium-ion battery,Germany,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,Germany,Lithium-iron phosphate battery,5000,5000
2016,Flow battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,10,60
2011,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1500,0
2012,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,15,19.05
2012,Lead-acid battery,Taiwan,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Taiwan,Unknown Technology Sub-Type ,2,7.2
2013,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-manganese oxide battery,United States,Lithium-manganese oxide battery,1000,1000
2016,Lithium-ion battery,Germany,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Germany,Unknown Technology Sub-Type ,15000,22500
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,30,30
2011,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,500,250
2014,Lithium-ion battery,South Korea,Electro-chemical battery and chemical storage,Lithium polymer battery,South Korea,Lithium polymer battery,250,425
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,13000,52000
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,United States,Lithium-iron phosphate battery,10,40
2015,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-iron flow battery,United States,Zinc-iron flow battery,48,0
2014,Flow battery,United States,Electro-chemical battery and chemical storage,Iron-chromium flow battery,United States,Iron-chromium flow battery,250,1000
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2400,3888
2012,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium polymer battery,United States,Lithium polymer battery,90,29.7
2013,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,40,0
2015,Unknown Technology Mid-Type,Australia,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Australia,Unknown Technology Sub-Type ,40,64
2011,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Lead-carbon battery,United States,Lead-carbon battery,500,250
2012,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,35,35
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,5,5
2014,Lithium-ion battery,Japan,Electro-chemical battery and chemical storage,Lithium-ion titanate battery,Japan,Lithium-ion titanate battery,1000,2830
2016,Flow battery,China,Electro-chemical battery and chemical storage,Vanadium redox flow battery,China,Vanadium redox flow battery,2000,8000
2014,Lithium-ion battery,Germany,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,Germany,Lithium-iron phosphate battery,50,135
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,30,60
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,30,30
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,30,30
2015,Unknown Technology Mid-Type,United Kingdom,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United Kingdom,Unknown Technology Sub-Type ,250,250
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,30,30
2017,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,30000,120000
2015,Lithium-ion battery,France,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,France,Unknown Technology Sub-Type ,1000,500
2012,Flow battery,Japan,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Japan,Vanadium redox flow battery,1000,5000
2015,Lithium-ion battery,United Kingdom,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United Kingdom,Unknown Technology Sub-Type ,10000,5000
2013,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,100,400
2014,Lithium-ion battery,Italy,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Italy,Unknown Technology Sub-Type ,2000,2000
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,450
2016,Unknown Technology Mid-Type,Germany,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Germany,Unknown Technology Sub-Type ,3000,4500
2013,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,50,50
2018,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,50000,0
2015,Lead-acid battery,Spain,Electro-chemical battery and chemical storage,Hybrid lead-acid battery/electro-chemical capacitor,Spain,Hybrid lead-acid battery/electro-chemical capacitor,50,15
2013,Hydrogen storage,Germany,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Germany,Unknown Technology Sub-Type ,6000,0
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,66000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,75000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,15000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,52000,
2022,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,125000,
2022,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,100000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,300000,
2022,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,25000,
2022,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,50000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,180000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,12500,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,58000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,50000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,69000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,60000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,150000,2500
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,36000,13500
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,50000,80000
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,25000,
2022,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,10000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,10000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,40000,
2022,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,10000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,117000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,70000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,115000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,99000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,200000,
2022,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2500,
2022,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2500,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,131000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,40000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,75000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,15000,
2022,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,900,
2022,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2100,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,10000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,80000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,20000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,65000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,300000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,10000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,140000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,50000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,136000,
2022,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,40000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9800,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,80000,
2022,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,500,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,10000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,24000,0
2022,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,50000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,200000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,200000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,200000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,175000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,50000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,100000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,100000,
2022,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,
2022,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,
2022,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,
2022,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,
2022,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,
2022,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,
2022,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,
2022,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2300,
2022,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,5000,
2022,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,3000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2500,
2022,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,3000,
2022,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,3000,
2022,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,3000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,800,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,20000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,5000,
2023,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,6000,
